,,,Gemeindesteuerfüsse 2010 / Gewogene Mittel,,,,,,"Altikon seit 2009 in der Region Winterthur u.U., nicht mehr im Weinland, gew. Mittel",,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
93 ,223 ,162,Neftenbach,96,0,0,0,14,13,14,96,110,109,110,,,,,,105.9,109.71,,,,,
112 ,224 ,163,Pfungen,112,0,0,0,11,13,14,112,123,125,126,,,,,,120.7,123.66,,,,,
118 ,225 ,164,Rickenbach,39,51,0,22,13,13,14,112,125,125,126,,,,,,122.4,125.00,,,,,
125 ,226 ,165,Schlatt,47,50,0,25,14,12,14,122,136,134,136,,,,,,132.4,135.62,,,,,
132 ,227 ,166,Seuzach,79,0,0,21,10,13,14,100,110,113,114,,,,,,108.7,111.02,,,,,
142 ,228 ,167,Turbenthal,54,42,0,26,14,16,14,122,136,138,136,,,,,,133.1,136.62,,,,,
162 ,229 ,168,Wiesendangen,24,0,73,0,12,13,14,97,109,110,111,,,,,,107.1,109.30,,,,,
167 ,230 ,169,Winterthur,122,0,0,0,14,16,14,122,136,138,136,,,,,,133.1,136.82,,,,,
168 ,231 ,170,Zell,122,0,0,0,14,12,14,122,136,134,136,,,,,,132.1,136.66,,,,,
171 ,261 ,171,Zürich,119,0,0,0,10,11,14,119,129,130,133,,,,,,126.5,129.53,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ganzer Kanton,,,,,,,,,,,,,,,,111.2,119.5,,,,,,
,,,Kt. o. Stadt Zürich,,,,,,,,,,,,,,,,107.6,116.3,,,,,,
,,,Stadt Zürich,,,,,,,,,,,,,,,,119.0,126.5,,,,,,
,,,Stadt Winterthur,,,,,,,,,,,,,,,,122.0,133.1,,,,,,
,,,Uebrige Gemeinden,,,,,,,,,,,,,,,,105.8,114.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Affoltern,,,,,,,,,,,,,,,,109.6,118.5,,,,,,
,,,Andelfingen,,,,,,,,,,,,,,,,116.2,126.5,,,,,,
,,,Bülach,,,,,,,,,,,,,,,,106.8,115.1,,,,,,
,,,Dielsdorf,,,,,,,,,,,,,,,,111.2,118.8,,,,,,
,,,Dietikon,,,,,,,,,,,,,,,,112.1,120.7,,,,,,
,,,Hinwil,,,,,,,,,,,,,,,,117.2,127.6,,,,,,
,,,Horgen,,,,,,,,,,,,,,,,96.6,104.3,,,,,,
,,,Meilen,,,,,,,,,,,,,,,,86.6,93.1,,,,,,
