INDIKATOR_ID,INDIKATOR_NAME,EINHEIT_LANG,QUELLE,BESCHREIBUNG
1277,200-209 Kindergarten / Grundstufe [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Kindergarten / Grundstufe
1278,210 Primarschule [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Primarschule
1279,211 Oberstufenschule [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Oberstufenschule
1280,212 Tagesschule [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Tagesschule
1281,213 Tagesstrukturen [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Tagesstrukturen
1282,214 Musikschule [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Musikschule
1283,215 Handarbeit und Hauswirtschaft [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Handarbeit
1284,216 [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für *nicht definiert*
1285,217 Schulliegenschaften [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Schulliegenschaften
1286,218 Volksschule Sonstiges [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Volksschule Sonstiges
1287,219 Schulverwaltung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Schulverwaltung
1288,220-229 Sonderschulung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Sonderschulung
1289,230-239 Berufsbildung [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Berufsbildung
1290,240-249 [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für *nicht definiert*
1291,250-259 [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für *nicht definiert*
1292,260-269 [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für *nicht definiert*
1293,270-279 [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für *nicht definiert*
1294,280-289 [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für *nicht definiert*
1296,29x Bildungswesen Übriges [Fr./Einw.],Franken pro Einwohner,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoinvestitionen für Bildungswesen Übriges
100,30 Personalaufwand [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Personalaufwand
101,31 Sachaufwand [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Sachaufwand
102,32 Passivzinsen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für Passivzinsen
103,33 Abschreibungen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für Abschreibungen
104,34 Anteile und Beiträge ohne Zweckbindung [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für Anteile und Beiträge ohne Zweckbindung
105,35 Entschädigung an Gemeinwesen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für Entschädigungen an Gemeinwesen
106,36 Eigene Beiträge [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für eigenen Beiträge
107,37 Durchlaufende Beiträge [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für durchlaufende Beiträge
108,38 Einlagen in Spezialfinanzierungen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für Einlagen in Spezialfinanzierungen
109,39 Interne Verrechnungen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Aufwendungen für interne Verrechnungen
111,40 Steuern [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Steuererträge
112,41 Regalien und Konzessionen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus Regalien und Konzessionen
113,42 Vermögenserträge [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Vermögenserträge
114,43 Entgelte [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus Entgelten
115,44 Anteile und Beiträge ohne Zweckbindung [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus Beiträgen ohne Zweckbindung
116,45 Rückerstattungen von Gemeinwesen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus Rückerstattungen von Gemeinwesen
117,46 Beiträge mit Zweckbindung [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus Beiträgen mit Zweckbindung
118,47 Durchlaufende Beiträge [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus durchlaufenden Beiträgen
119,48 Entnahmen aus Spezialfinanzierungen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus Entnahmen aus Spezialfinanzierungen
120,49 Interne Verrechnungen [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Erträge aus internen Verrechnungen
121,91 Ertragsüberschuss (+) / Aufwandüberschuss (-) [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Jahresergebnis Erfolgsrechnung. Ertragsüberschuss (positives Vorzeichen) oder Aufwandüberschuss (negatives Vorzeichen)
122,0 Nettoaufwendungen Behörden und allg. Verwaltung [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Behörden und allgemeine Verwaltung
123,1 Nettoaufwendungen Rechtschutz und Sicherheit [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Rechtschutz und Sicherheit
124,2 Nettoaufwendungen Bildung [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Bildung
125,3 Nettoaufwendungen Kultur und Freizeit [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Kultur und Freizeit
126,4 Nettoaufwendungen Gesundheit [Fr.],Franken,"Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS)",Nettoaufwendungen für Gesundheit
